Country Code,Countries,Food Security Index,Prevalence of undernourishment,Percentage of children stunted,Percentage of children underweight,Prevalence of severe food insecurity,Prevalence of moderate or severe food insecurity,Human Development Index,EIU Democracy Index,Prevalence of Obesity
DZA,Algeria,62.5,2.5,9.3,2.7,7,17.6,0.75,4,34
AGO,Angola,45.5,17.3,37.7,19,27,73.5,0.58,4,10
ARG,Argentina,64.7,3.9,7.8,1.7,13,35.8,0.84,7,29.6
AUS,Australia,70.7,2.5,2.1,0.2,3,12.3,0.94,9,30.7
AUT,Austria,77.7,2.5,n/a,n/a,1,3,0.92,8,23.4
AZE,Azerbaijan,60.8,2.5,16.3,4.9,0,8.9,0.76,3,23.9
BHR,Bahrain,69.3,n/a,5.1,n/a,n/a,n/a,0.85,2,36.1
BGD,Bangladesh,53.6,9.7,30.2,22.6,10,31.9,0.63,6,4.6
BLR,Belarus,69.1,2.5,3.9,1.3,n/a,n/a,0.82,3,29.1
BEL,Belgium,74.5,2.5,2.3,1,1,3.7,0.93,8,25.1
BEN,Benin,46.6,7.6,31.3,16.8,n/a,n/a,0.55,5,12.2
BOL,Bolivia,64.7,12.6,12.7,3.4,n/a,n/a,0.72,5,23.9
BWA,Botswana,54.7,29.3,22.8,11.8,22,50.8,0.74,8,25.5
BRA,Brazil,66.2,2.5,6.1,2.2,4,23.5,0.76,7,25.9
BGR,Bulgaria,72.2,3,6.4,1.9,2,13.2,0.82,7,27.5
BFA,Burkina Faso,51.8,14.4,25.5,16.4,15,47.9,0.45,4,6.8
BDI,Burundi,39.3,n/a,57.6,27,n/a,n/a,0.43,2,7
KHM,Cambodia,55.0,6.2,29.9,24.1,13,44.8,0.59,3,4.5
CMR,Cameroon,48.4,5.3,27.2,11,27,55.8,0.56,3,13.9
CAN,Canada,79.5,2.5,n/a,n/a,1,5.8,0.93,9,31.5
TCD,Chad,42.4,31.7,35,29.2,n/a,n/a,0.4,2,7
CHL,Chile,74.4,3.4,1.6,0.5,4,17.9,0.85,8,32.1
CHN,China,70.6,2.5,4.7,2.4,n/a,n/a,0.76,2,7.1
COL,Colombia,63.0,8.8,11.5,3.7,n/a,n/a,0.77,7,26.7
COD,Congo (Dem. Rep.),44.5,41.7,40.8,23.1,38,69.2,0.48,1,8
CRI,Costa Rica,77.7,3.1,8.6,2.9,3,15.3,0.81,8,30.4
CIV,Côte d'Ivoire,48.4,14.9,17.8,12.8,n/a,n/a,0.54,4,13.1
CZE,Czech Republic,76.6,2.5,2.5,2.1,1,4.2,0.9,8,28.6
DNK,Denmark,77.3,2.5,n/a,n/a,1,5,0.94,9,23.7
DOM,Dominican Rep.,64.8,8.3,5.9,4,n/a,n/a,0.76,6,33.2
ECU,Ecuador,64.9,12.4,23.1,5.2,12,32.7,0.76,6,24.1
EGY,Egypt,58.5,5.4,22.3,7,7,27.8,0.71,3,40
SLV,El Salvador,62.3,8.5,11.2,5,14,47.1,0.67,6,27.4
ETH,Ethiopia,42.7,16.2,35.3,21.1,16,56.3,0.48,3,5.6
FIN,Finland,82.7,2.5,n/a,n/a,2,8,0.94,9,25.7
FRA,France,78.3,2.5,n/a,n/a,1,5.8,0.9,8,23.5
DEU,Germany,77.3,2.5,1.6,0.5,1,3.4,0.95,9,26.6
GHA,Ghana,54.2,6.1,14.2,12.6,9,50.2,0.61,6,15
GRC,Greece,72.5,2.5,2.2,0.2,2,8.6,0.89,7,28.7
GTM,Guatemala,59.1,16.8,42.8,12.4,19,49.7,0.66,5,23.8
GIN,Guinea,46.4,n/a,29.4,16.3,50,74.1,0.48,3,9.9
HTI,Haiti,38.5,46.8,20.4,9.5,n/a,n/a,0.51,4,24.3
HND,Honduras,62.3,13.5,19.9,7.1,15,45.6,0.63,5,24.5
HUN,Hungary,68.5,2.5,n/a,n/a,1,8.6,0.85,7,29.9
IND,India,58.4,15.3,30.9,33.4,n/a,n/a,0.64,7,4.9
IDN,Indonesia,59.8,6.5,31.8,17.7,1,6.2,0.72,6,9
IRL,Ireland,81.6,2.5,n/a,n/a,4,8.3,0.96,9,27.3
ISR,Israel,73.1,2.5,n/a,n/a,2,13.7,0.92,8,27.2
ITA,Italy,74.1,2.5,n/a,n/a,1,6.7,0.89,8,23.3
JPN,Japan,79.5,2.5,5.5,3.4,1,3.4,0.92,8,4.6
JOR,Jordan,65.6,9.5,7.3,3,n/a,n/a,0.73,4,40.4
KAZ,Kazakhstan,70.7,2.5,6.7,2,0,2.3,0.82,3,23.4
KEN,Kenya,52.6,24.8,19.4,11.2,26,68.5,0.6,5,9.4
KWT,Kuwait,68.0,2.5,6,3,5,12.2,0.81,4,43.9
LAO,Laos,49.0,5.3,30.2,21.1,9,29.4,0.61,2,5.7
MDG,Madagascar,43.3,43.2,40.2,26.4,n/a,n/a,0.53,6,6.3
MWI,Malawi,45.3,17.3,37,9,51,81.8,0.48,6,7.5
MYS,Malaysia,71.5,3.2,20.9,14.1,8,18.7,0.81,7,17.6
MLI,Mali,52.0,10.4,25.7,18.1,n/a,n/a,0.43,4,10.4
MEX,Mexico,70.9,7.2,12.1,4.7,6,26.1,0.78,6,32.6
MAR,Morocco,64.3,4.2,12.9,2.6,n/a,28,0.69,5,31.9
MOZ,Mozambique,45.3,31.2,37.8,15.6,40,71.1,0.46,4,8.9
MMR,Myanmar,58.3,7.6,25.2,19.1,2,22.2,0.58,3,7.3
NPL,Nepal,55.1,4.8,30.4,24.4,12,36.4,0.6,5,4.8
NLD,Netherlands,79.9,2.5,1.6,1,1,4.7,0.94,9,23.4
NZL,New Zealand,77.4,2.5,n/a,n/a,4,14,0.93,9,32.9
NIC,Nicaragua,57.6,19.3,14.1,4.6,n/a,n/a,0.66,4,26.8
NER,Niger,49.7,n/a,46.7,31.3,n/a,n/a,0.39,3,7.2
NGA,Nigeria,46.8,14.6,35.3,18.4,21,57.7,0.54,4,11.5
NOR,Norway,78.4,2.5,n/a,n/a,1,4.1,0.96,10,25.1
OMN,Oman,72.3,8.2,12.2,11.2,n/a,n/a,0.81,3,30.8
PAK,Pakistan,50.0,12.9,36.7,23.1,n/a,n/a,0.56,4,10.1
PAN,Panama,74.2,7.5,14.7,3,n/a,n/a,0.82,7,27.5
PRY,Paraguay,64.6,9.2,4.6,1.3,n/a,n/a,0.73,6,21.9
PER,Peru,73.1,8.7,10.8,2.4,19,47.8,0.78,7,23.5
PHL,Philippines,59.6,9.4,28.7,19.1,4,42.7,0.72,7,7
POL,Poland,75.0,2.5,2.3,0.7,0,5.8,0.88,7,25.7
PRT,Portugal,77.0,2.5,3.3,0.4,3,11.5,0.86,8,24.2
QAT,Qatar,74.6,n/a,4.6,n/a,n/a,n/a,0.85,3,41.8
ROU,Romania,69.3,2.5,9.7,3.5,3,13.9,0.83,6,24.9
RUS,Russia,71.7,2.5,n/a,n/a,0,6,0.82,3,30.8
RWA,Rwanda,44.6,35.2,32.6,7.7,n/a,n/a,0.54,3,7.7
SAU,Saudi Arabia,68.2,3.9,3.9,5.3,n/a,n/a,0.85,2,41.2
SEN,Senegal,50.8,7.5,17.2,14.4,14,40.9,0.51,6,11
SRB,Serbia,62.0,3.9,5.3,1,3,12,0.81,6,24.5
SLE,Sierra Leone,42.9,26.2,26.8,13.5,32,83.9,0.45,5,11.6
SGP,Singapore,72.8,n/a,2.8,3.3,1,4.5,0.94,6,7
SVK,Slovakia,71.0,4,n/a,n/a,1,6,0.86,7,22.5
ZAF,South Africa,64.9,6.5,23.2,5.5,19,44.9,0.71,7,38.5
KOR,South Korea,68.9,2.5,2.2,0.7,1,5.1,0.92,8,5.3
ESP,Spain,76.6,2.5,n/a,n/a,2,8.8,0.9,8,27.2
LKA,Sri Lanka,55.5,6.8,16,20.5,n/a,n/a,0.78,6,7.7
SDN,Sudan,38.8,12.3,33.7,33,17,49.4,0.51,3,10.7
SWE,Sweden,77.7,2.5,n/a,n/a,1,5.3,0.94,9,24.2
CHE,Switzerland,78.0,2.5,n/a,n/a,0,2,0.96,9,23.7
SYR,Syria,36.2,n/a,29.6,10.4,n/a,n/a,0.57,1,32.4
TJK,Tajikistan,54.4,n/a,15.3,7.6,n/a,n/a,0.67,2,14.6
TZA,Tanzania,48.2,25.1,32,14.6,25,56.4,0.53,5,10.7
THA,Thailand,62.1,8.2,12.3,7.7,8,29.8,0.78,6,13.8
TGO,Togo,48.5,20.4,23.8,15.2,n/a,n/a,0.52,3,10.7
TUN,Tunisia,60.4,3,8.6,1.6,11,25.1,0.74,7,34.9
TCA,Turkey,65.6,2.5,n/a,1.5,n/a,n/a,0.82,4,39.7
UGA,Uganda,47.0,n/a,27.9,10.4,22,69.2,0.54,5,6.8
UKR,Ukraine,60.6,2.5,15.9,4.1,2,n/a,0.78,6,28.4
ARE,United Arab Emirates,73.6,3.7,n/a,n/a,n/a,n/a,0.89,3,38.8
GBR,United Kingdom,79.3,2.5,n/a,n/a,1,3.9,0.93,9,30.4
USA,United States,78.7,2.5,3.2,0.4,1,8,0.93,8,38.2
URY,Uruguay,69.2,2.5,6.5,1.8,7,23.5,0.82,9,32.1
UZB,Uzbekistan,54.5,2.5,9.9,2.9,4,19.7,0.72,2,17.7
VEN,Venezuela,44.0,27.4,10.6,2.9,n/a,n/a,0.71,3,28.3
VNM,Vietnam,62.7,6.7,22.3,13.4,0,6.5,0.7,3,2.6
YEM,Yemen,39.8,45.4,37.2,39.9,n/a,n/a,0.47,2,18.2
ZMB,Zambia,44.7,n/a,32.3,11.8,23,51.4,0.58,5,10